revision,mechanism,batch_size,nominal_latent_prevalence,acceptance_rate,realized_latent_prevalence,episodes,affected_probability,expected_affected_rows,probability_fewer_than_five_affected
v1_learned_mean,covariance_shear,128,0.25,1.0,0.24140625,10,0.25,32.0,1.4794132535259513e-11
v1_learned_mean,covariance_shear,128,0.3,1.0,0.31015625,20,0.3,38.4,5.777425644676683e-15
v1_learned_mean,covariance_shear,128,0.35,1.0,0.3578125,10,0.35,44.8,1.0759469428490078e-18
v1_learned_mean,covariance_shear,128,0.4,1.0,0.4109375,10,0.4,51.2,8.874953317822086e-23
v1_learned_mean,covariance_shear,128,0.45,1.0,0.43359375,10,0.45,57.6,2.904378479800144e-27
v1_learned_mean,covariance_shear,128,0.5,1.0,0.5078125,10,0.5,64.0,3.237791337733303e-32
v1_learned_mean,covariance_shear,128,0.55,1.0,0.55546875,10,0.55,70.4,9.984547486384717e-38
v1_learned_mean,covariance_shear,128,0.6,1.0,0.59765625,10,0.6,76.8,6.389103529880944e-44
v1_learned_mean,covariance_shear,128,0.65,1.0,0.6640625,10,0.65,83.2,5.645319520937885e-51
v1_learned_mean,covariance_shear,128,0.7,1.0,0.68671875,10,0.7,89.6,3.779955391387509e-59
v1_learned_mean,covariance_shear,128,0.75,1.0,0.74765625,10,0.75,96.0,7.542818294002512e-69
v1_learned_mean,covariance_shear,128,0.8,1.0,0.80703125,10,0.8,102.4,9.367928048566555e-81
v1_learned_mean,covariance_shear,128,0.85,1.0,0.84921875,10,0.85,108.8,3.832928303315164e-96
v1_learned_mean,covariance_shear,128,0.9,1.0,0.90546875,10,0.9,115.2,7.024227062499768e-118
v1_learned_mean,covariance_shear,128,0.95,1.0,0.94375,10,0.95,121.6,4.0925096273022975e-155
v1_learned_mean,covariance_shear,256,0.05,1.0,0.0546875,10,0.05,12.8,0.0036659736412998673
v1_learned_mean,covariance_shear,256,0.1,1.0,0.0953125,10,0.1,25.6,5.964036474537538e-08
v1_learned_mean,covariance_shear,256,0.15,1.0,0.135546875,10,0.15,38.4,1.5856693586192982e-13
v1_learned_mean,covariance_shear,256,0.2,1.0,0.202734375,10,0.2,51.2,1.1303399068137928e-19
